,level_0,currency_code,currency_name
0,0,AED,Дирхам ОАЭ
1,1,AFN,Афгани
2,2,ALL,Албанский лек
3,3,AMD,Армянский драм
4,4,ANG,Нидерландский антильский гульден
5,5,AOA,Ангольская кванза
6,6,ARS,Аргентинское песо
7,7,AUD,Австралийский доллар
8,8,AWG,Арубанский флорин
9,9,AZN,Азербайджанский манат
10,10,BAM,Боснийско-герцеговинская марка
11,11,BBD,Барбадосский доллар
12,12,BDT,Бангладешская така
13,13,BGN,Болгарский лев
14,14,BHD,Бахрейнский динар
15,15,BIF,Бурундийский франк
16,16,BMD,Бермудский доллар
17,17,BND,Брунейский доллар
18,18,BOB,Боливийский боливиано
19,19,BRL,Бразильский реал
20,20,BSD,Багамский доллар
21,21,BTN,Бутанский нгултрум
22,22,BWP,Ботсванская пула
23,23,BYN,Белорусский рубль
24,24,BZD,Белизский доллар
25,25,CAD,Канадский доллар
26,26,CDF,Конголезский франк
27,27,CHF,Швейцарский франк
28,28,CLP,Чилийское песо
29,29,CNY,Китайский юань
30,30,COP,Колумбийское песо
31,31,CRC,Костариканский колон
32,32,CUP,Кубинское песо
33,33,CVE,Эскудо Кабо-Верде
34,34,CZK,Чешская крона
35,35,DJF,Джибутийский франк
36,36,DKK,Датская крона
37,37,DOP,Доминиканское песо
38,38,DZD,Алжирский динар
39,39,EGP,Египетский фунт
40,40,ERN,Эритрейская накфа
41,41,ETB,Эфиопский бырр
42,42,EUR,Евро
43,43,FJD,Фиджийский доллар
44,44,FKP,Фунт Фолклендских островов
45,45,FOK,Фарерская крона
46,46,GBP,Фунт стерлингов
47,47,GEL,Грузинский лари
48,48,GGP,Гернсийский фунт
49,49,GHS,Ганский седи
50,50,GIP,Гибралтарский фунт
51,51,GMD,Гамбийский даласи
52,52,GNF,Гвинейский франк
53,53,GTQ,Гватемальский кетсаль
54,54,GYD,Гайанский доллар
55,55,HKD,Гонконгский доллар
56,56,HNL,Гондурасская лемпира
57,57,HRK,Хорватская куна
58,58,HTG,Гаитянский гурд
59,59,HUF,Венгерский форинт
60,60,IDR,Индонезийская рупия
61,61,ILS,Израильский новый шекель
62,62,IMP,Островная фунта Мэн
63,63,INR,Индийская рупия
64,64,IQD,Иракский динар
65,65,IRR,Иранский риал
66,66,ISK,Исландская крона
67,67,JEP,Джерсийский фунт
68,68,JMD,Ямайский доллар
69,69,JOD,Иорданский динар
70,70,JPY,Японская иена
71,71,KES,Кенийский шиллинг
72,72,KGS,Киргизский сом
73,73,KHR,Камбоджийский риель
74,74,KID,Доллар Кирибати
75,75,KMF,Коморский франк
76,76,KRW,Южнокорейская вона
77,77,KWD,Кувейтский динар
78,78,KYD,Доллар Каймановых островов
79,79,KZT,Казахский тенге
80,80,LAK,Лаосский кип
81,81,LBP,Ливанский фунт
82,82,LKR,Шри-ланкийская рупия
83,83,LRD,Либерийский доллар
84,84,LSL,Лоти Лесото
85,85,LYD,Ливийский динар
86,86,MAD,Марокканский дирхам
87,87,MDL,Молдавский лей
88,88,MGA,Малагасийский ариари
89,89,MKD,Македонский денар
90,90,MMK,Мьянманский кьят
91,91,MNT,Монгольский тугрик
92,92,MOP,Макаоская патака
93,93,MRU,Мавританская угия
94,94,MUR,Маврикийская рупия
95,95,MVR,Мальдивская руфия
96,96,MWK,Малавийская квача
97,97,MXN,Мексиканское песо
98,98,MYR,Малайзийский ринггит
99,99,MZN,Мозамбикский метикал
100,100,NAD,Намибийский доллар
101,101,NGN,Нигерийская найра
102,102,NIO,Никарагуанская кордоба
103,103,NOK,Норвежская крона
104,104,NPR,Непальская рупия
105,105,NZD,Новозеландский доллар
106,106,OMR,Оманский риал
107,107,PAB,Панамский бальбоа
108,108,PEN,Перуанский соль
109,109,PGK,Папуанская новая гвинея
110,110,PHP,Филиппинский песо
111,111,PKR,Пакистанская рупия
112,112,PLN,Польский злотый
113,113,PYG,Парагвайский гуарани
114,114,QAR,Катарский риал
115,115,RON,Румынский лей
116,116,RSD,Сербский динар
117,117,RUB,Российский рубль
118,118,RWF,Руандийский франк
119,119,SAR,Саудовский риял
120,120,SBD,Доллар Соломоновых островов
121,121,SCR,Сейшельская рупия
122,122,SDG,Суданский фунт
123,123,SEK,Шведская крона
124,124,SGD,Сингапурский доллар
125,125,SHP,Фунт острова Святой Елены
126,126,SLE,Сьерра-леонский леоне
127,127,SOS,Сомалийский шиллинг
128,128,SRD,Суринамский доллар
129,129,SSP,Южносуданский фунт
130,130,STN,Добра Сан-Томе и Принсипи
131,131,SYP,Сирийский фунт
132,132,SZL,Свазилендский лилангени
133,133,THB,Таиландский бат
134,134,TJS,Таджикский сомони
135,135,TMT,Туркменский манат
136,136,TND,Тунисский динар
137,137,TOP,Паанга Тонга
138,138,TRY,Турецкая лира
139,139,TTD,Доллар Тринидада и Тобаго
140,140,TVD,Тувалуанский доллар
141,141,TWD,Новый тайваньский доллар
142,142,TZS,Танзанийский шиллинг
143,143,UAH,Украинская гривна
144,144,UGX,Угандийский шиллинг
145,145,USD,Доллар США
146,146,UYU,Уругвайское песо
147,147,UZS,Узбекский сум
148,148,VES,Венесуэльский боливар
149,149,VND,Вьетнамский донг
150,150,VUV,Вату Вануату
151,151,WST,Самоанская тала
152,152,XAF,Центральноафриканский франк
153,153,XCD,Восточнокарибский доллар
154,154,XDR,Специальные права заимствования
155,155,XOF,Западноафриканский франк
156,156,XPF,Французский тихоокеанский франк
157,157,YER,Йеменский риал
158,158,ZAR,Южноафриканский рэнд
159,159,ZMW,Замбийская квача
160,160,ZWL,Зимбабвийский доллар
